Date,PX_LAST
31/10/2020,1.1646
30/10/2020,1.1647
29/10/2020,1.1674
28/10/2020,1.1746
27/10/2020,1.1796
26/10/2020,1.181
23/10/2020,1.186
22/10/2020,1.1818
21/10/2020,1.1861
20/10/2020,1.1822
19/10/2020,1.1769
16/10/2020,1.1718
15/10/2020,1.1708
14/10/2020,1.1746
13/10/2020,1.1746
12/10/2020,1.1813
09/10/2020,1.1826
08/10/2020,1.1759
07/10/2020,1.1763
06/10/2020,1.1734
05/10/2020,1.1783
02/10/2020,1.1716
01/10/2020,1.1748
30/09/2020,1.1721
29/09/2020,1.1744
28/09/2020,1.1666
25/09/2020,1.1631
24/09/2020,1.1672
23/09/2020,1.166
22/09/2020,1.1708
21/09/2020,1.1771
18/09/2020,1.184
17/09/2020,1.1848
16/09/2020,1.1816
15/09/2020,1.1847
14/09/2020,1.1866
11/09/2020,1.1846
10/09/2020,1.1815
09/09/2020,1.1803
08/09/2020,1.1778
07/09/2020,1.1817
04/09/2020,1.1838
03/09/2020,1.1852
02/09/2020,1.1855
01/09/2020,1.1912
31/08/2020,1.1936
28/08/2020,1.1903
27/08/2020,1.1822
26/08/2020,1.183
25/08/2020,1.1835
24/08/2020,1.1788
21/08/2020,1.1797
20/08/2020,1.186
19/08/2020,1.1838
18/08/2020,1.1931
17/08/2020,1.187
14/08/2020,1.1842
13/08/2020,1.1814
12/08/2020,1.1784
11/08/2020,1.174
10/08/2020,1.1738
07/08/2020,1.1787
06/08/2020,1.1877
05/08/2020,1.1863
04/08/2020,1.1803
03/08/2020,1.1762
31/07/2020,1.1778
30/07/2020,1.1847
29/07/2020,1.1792
28/07/2020,1.1716
27/07/2020,1.1752
24/07/2020,1.1656
23/07/2020,1.1596
22/07/2020,1.157
21/07/2020,1.1527
20/07/2020,1.1448
17/07/2020,1.1428
16/07/2020,1.1384
15/07/2020,1.1412
14/07/2020,1.14
13/07/2020,1.1344
10/07/2020,1.13
09/07/2020,1.1285
08/07/2020,1.133
07/07/2020,1.1274
06/07/2020,1.1309
03/07/2020,1.1248
02/07/2020,1.1239
01/07/2020,1.1251
30/06/2020,1.1234
29/06/2020,1.1242
26/06/2020,1.1219
25/06/2020,1.1218
24/06/2020,1.1251
23/06/2020,1.1308
22/06/2020,1.1261
19/06/2020,1.1178
18/06/2020,1.1205
17/06/2020,1.1244
16/06/2020,1.1264
15/06/2020,1.1323
12/06/2020,1.1256
11/06/2020,1.1299
10/06/2020,1.1374
09/06/2020,1.134
08/06/2020,1.1294
05/06/2020,1.1292
04/06/2020,1.1338
03/06/2020,1.1233
02/06/2020,1.117
01/06/2020,1.1136
29/05/2020,1.1101
28/05/2020,1.1077
27/05/2020,1.1006
26/05/2020,1.0982
25/05/2020,1.0898
22/05/2020,1.0901
21/05/2020,1.095
20/05/2020,1.098
19/05/2020,1.0923
18/05/2020,1.0913
15/05/2020,1.082
14/05/2020,1.0805
13/05/2020,1.0818
12/05/2020,1.0848
11/05/2020,1.0807
08/05/2020,1.0839
07/05/2020,1.0834
06/05/2020,1.0795
05/05/2020,1.084
04/05/2020,1.0907
01/05/2020,1.0981
30/04/2020,1.0955
29/04/2020,1.0873
28/04/2020,1.082
27/04/2020,1.0829
24/04/2020,1.0823
23/04/2020,1.0777
22/04/2020,1.0823
21/04/2020,1.0858
20/04/2020,1.0862
17/04/2020,1.0875
16/04/2020,1.084
15/04/2020,1.091
14/04/2020,1.098
13/04/2020,1.0914
10/04/2020,1.0937
09/04/2020,1.093
08/04/2020,1.0858
07/04/2020,1.0892
06/04/2020,1.0793
03/04/2020,1.0801
02/04/2020,1.0858
01/04/2020,1.0964
31/03/2020,1.1031
30/03/2020,1.1048
27/03/2020,1.1141
26/03/2020,1.1032
25/03/2020,1.0882
24/03/2020,1.0788
23/03/2020,1.0726
20/03/2020,1.0688
19/03/2020,1.0692
18/03/2020,1.0915
17/03/2020,1.0997
16/03/2020,1.1183
13/03/2020,1.1107
12/03/2020,1.1185
11/03/2020,1.127
10/03/2020,1.1281
09/03/2020,1.145
06/03/2020,1.1284
05/03/2020,1.1237
04/03/2020,1.1136
03/03/2020,1.1173
02/03/2020,1.1134
28/02/2020,1.1026
27/02/2020,1.1001
26/02/2020,1.0881
25/02/2020,1.0882
24/02/2020,1.0854
21/02/2020,1.0847
20/02/2020,1.0785
19/02/2020,1.0805
18/02/2020,1.0792
17/02/2020,1.0836
14/02/2020,1.0831
13/02/2020,1.0841
12/02/2020,1.0874
11/02/2020,1.0916
10/02/2020,1.0911
07/02/2020,1.0946
06/02/2020,1.0983
05/02/2020,1.0999
04/02/2020,1.1044
03/02/2020,1.106
31/01/2020,1.1093
30/01/2020,1.1032
29/01/2020,1.101
28/01/2020,1.1022
27/01/2020,1.1019
24/01/2020,1.1025
23/01/2020,1.1055
22/01/2020,1.1093
21/01/2020,1.1082
20/01/2020,1.1095
17/01/2020,1.1092
16/01/2020,1.1137
15/01/2020,1.115
14/01/2020,1.1128
13/01/2020,1.1134
10/01/2020,1.1121
09/01/2020,1.1106
08/01/2020,1.1105
07/01/2020,1.1153
06/01/2020,1.1197
03/01/2020,1.1161
02/01/2020,1.1172
01/01/2020,1.1212
31/12/2019,1.1213
30/12/2019,1.1199
27/12/2019,1.1177
26/12/2019,1.1098
25/12/2019,1.1093
24/12/2019,1.1089
23/12/2019,1.1089
20/12/2019,1.1079
19/12/2019,1.1122
18/12/2019,1.1114
17/12/2019,1.115
16/12/2019,1.1144
13/12/2019,1.1121
12/12/2019,1.113
11/12/2019,1.113
10/12/2019,1.1092
09/12/2019,1.1064
06/12/2019,1.106
05/12/2019,1.1104
04/12/2019,1.1078
03/12/2019,1.1082
02/12/2019,1.1079
29/11/2019,1.1018
28/11/2019,1.1009
27/11/2019,1.0999
26/11/2019,1.1021
25/11/2019,1.1014
22/11/2019,1.1021
21/11/2019,1.1059
20/11/2019,1.1073
19/11/2019,1.1078
18/11/2019,1.1072
15/11/2019,1.1051
14/11/2019,1.1022
13/11/2019,1.1007
12/11/2019,1.1009
11/11/2019,1.1033
08/11/2019,1.1018
07/11/2019,1.105
06/11/2019,1.1066
05/11/2019,1.1075
04/11/2019,1.1128
01/11/2019,1.1166
31/10/2019,1.1152
30/10/2019,1.1151
29/10/2019,1.1112
28/10/2019,1.11
25/10/2019,1.108
24/10/2019,1.1104
23/10/2019,1.113
22/10/2019,1.1125
21/10/2019,1.115
18/10/2019,1.1167
17/10/2019,1.1125
16/10/2019,1.1072
15/10/2019,1.1033
14/10/2019,1.1027
11/10/2019,1.1042
10/10/2019,1.1005
09/10/2019,1.0971
08/10/2019,1.0957
07/10/2019,1.0971
04/10/2019,1.0979
