Date,PX_LAST
31/10/2020,8.305
30/10/2020,7.9475
29/10/2020,8.255
28/10/2020,8.675
27/10/2020,8.18
26/10/2020,7.8575
23/10/2020,7.52
22/10/2020,7.5525
21/10/2020,7.8025
20/10/2020,7.5625
19/10/2020,7.175
16/10/2020,6.7475
15/10/2020,6.9775
14/10/2020,6.9325
13/10/2020,7.14
12/10/2020,7.21
09/10/2020,7.1175
08/10/2020,7.26
07/10/2020,7.5575
06/10/2020,7.5775
05/10/2020,7.6275
02/10/2020,7.3175
01/10/2020,6.5425
30/09/2020,6.4075
29/09/2020,6.6725
28/09/2020,6.5625
25/09/2020,6.52
24/09/2020,6.7025
23/09/2020,6.8075
22/09/2020,6.79
21/09/2020,6.895
18/09/2020,6.4
17/09/2020,6.6175
16/09/2020,6.7975
15/09/2020,7.1625
14/09/2020,7.0375
11/09/2020,7.02
10/09/2020,7.3575
09/09/2020,7.57
08/09/2020,7.6425
07/09/2020,7.475
04/09/2020,7.23
03/09/2020,7.615
02/09/2020,7.63
01/09/2020,7.7625
31/08/2020,7.845
28/08/2020,7.465
27/08/2020,7.11
26/08/2020,7.49
25/08/2020,7.56
24/08/2020,7.79
21/08/2020,7.63
20/08/2020,7.775
19/08/2020,8.0725
18/08/2020,8.1925
17/08/2020,7.705
14/08/2020,7.44
13/08/2020,7.605
12/08/2020,7.4
11/08/2020,7.17
10/08/2020,7.11
07/08/2020,7.4275
06/08/2020,7.9025
05/08/2020,8.435
04/08/2020,7.81
03/08/2020,7.92
31/07/2020,7.81
30/07/2020,7.8525
29/07/2020,7.865
28/07/2020,7.8125
27/07/2020,8.1675
24/07/2020,6.9925
23/07/2020,6.745
22/07/2020,6.79
21/07/2020,6.525
20/07/2020,6.3475
17/07/2020,6.595
16/07/2020,6.365
15/07/2020,6.8675
14/07/2020,6.9225
13/07/2020,6.8525
10/07/2020,6.4825
09/07/2020,6.6175
08/07/2020,6.5375
07/07/2020,6.66
06/07/2020,6.8375
03/07/2020,6.365
02/07/2020,6.635
01/07/2020,6.8575
30/06/2020,7.1175
29/06/2020,7.3325
26/06/2020,7.055
25/06/2020,7.25
24/06/2020,7.6975
23/06/2020,7.5675
22/06/2020,7.3325
19/06/2020,7.2425
18/06/2020,7.4475
17/06/2020,7.705
16/06/2020,7.8425
15/06/2020,7.785
12/06/2020,8.11
11/06/2020,8.1125
10/06/2020,7.65
09/06/2020,7.33
08/06/2020,6.99
05/06/2020,6.795
04/06/2020,6.9
03/06/2020,7.0575
02/06/2020,6.59
01/06/2020,6.3875
29/05/2020,6.4175
28/05/2020,6.555
27/05/2020,6.4125
26/05/2020,6.15
25/05/2020,6.47
22/05/2020,6.385
21/05/2020,6.49
20/05/2020,6.84
19/05/2020,6.735
18/05/2020,6.6675
15/05/2020,6.5275
14/05/2020,6.6675
13/05/2020,6.7625
12/05/2020,6.7925
11/05/2020,7.035
08/05/2020,6.8725
07/05/2020,7.15
06/05/2020,7.1675
05/05/2020,7.0975
04/05/2020,7.385
01/05/2020,6.68
30/04/2020,6.335
29/04/2020,6.59
28/04/2020,7.4725
27/04/2020,7.605
24/04/2020,7.7775
23/04/2020,7.9225
22/04/2020,7.94
21/04/2020,7.9725
20/04/2020,7.7525
17/04/2020,7.7425
16/04/2020,8.16
15/04/2020,7.8825
14/04/2020,7.605
13/04/2020,7.85
10/04/2020,7.58
09/04/2020,7.6925
08/04/2020,8.09
07/04/2020,8.4725
06/04/2020,8.65
03/04/2020,9.6
02/04/2020,9.5325
01/04/2020,9.5025
31/03/2020,9.2525
30/03/2020,9.7975
